"","Open","High","Low","Close","Volume (BTC)","Volume (Currency)","Weighted Price"
"277",23.55003,27.67281,23.55003,27.67281,21.03646068,554.572896372,26.3624620514
"278",27.2,27.48294,27,27.48294,5.32868385,145.670000008,27.3369567625
"279",27.68999,27.68999,27.68999,27.68999,2,55.37998,27.68999
"280",27.68997,27.68999,26.49997,26.5,27.0928232,727.163186694,26.83969778
"281",26.5,26.5,26.5,26.5,5.20615053,137.962989045,26.5
"282",26.5,29.97829,26.5,29.17541,216.09092626,5872.10781078,27.1742451773
"283",32.99999,32.99999,26.00001,26.00001,4.62938469,151.649651676,32.7580578913
"284",29.8,29.8,29.5,29.50002,65.20249532,1924.46111371,29.515145153
"285",29.50002,32.9997,29.50002,30.9,11.99825038,372.234990765,31.0241059301
"286",30.20003,30.3,28.10013,30,182.65246104,5506.34496628,30.1465687072
"287",30.9999,31.40161,29.10005,29.31684,63.10761432,1894.7973836,30.0248615642
"288",0,0,0,0,0,0,0
"289",31,32.79997,30.00001,30.00001,21.5927001,677.039796509,31.3550317178
"290",32.87997,32.88987,32.87997,32.88987,1.47498029,48.5015999907,32.8828800761
"291",32.89989,34.45782,31.30003,31.30003,58.96680485,1963.36688428,33.2961382133
"292",31.30003,34.45789,31.30003,34.45787,95.19798821,3043.3216231,31.9683396711
"293",31.34543,34.43955,31.34543,32,9.08912487,309.442496774,34.0453565332
"294",32,34.39799,30.00043,30.50001,25.008,782.849455783,31.3039609638
"295",34.39798,36.38726,34.39798,36.38726,6.73218715,231.970319949,34.456903051
"296",36.38551,40.58848,36.00001,40.09545,17.29344667,628.733570346,36.3567530721
"297",40.679,49.99995,40.679,45.03765,54.30698272,2420.634951,44.5731806439
"298",36.70956,47.70956,36.70956,41.974,122.02704569,4768.8622052,39.0803708984
"299",41.68781,47.00001,41.68781,44.49999,40.81078913,1767.37674509,43.3066055024
"300",44.49999,47.60691,44.49903,47.60691,23.43723059,1049.43042074,44.7762126464
"301",47.60691,48.79977,45.30348,48.79977,46.07567983,2128.31006207,46.1916149675
"302",48.79977,49.98,46.79977,49.98,11.21871263,536.707681819,47.8403984058
"303",49.98,70,40.10042,70,45.82603447,2274.14599151,49.6256335032
"304",49,54.48097,46.42023,48,38.70088969,1846.11379887,47.7021022941
"305",46.63,54.48097,44.73329,48.77777,25.19338194,1194.73294182,47.4224915362
"306",47.51407,52.14789,46.7375,52,23.32449782,1122.29825385,48.1167167031
"307",50,54.48098,46.76567,51.49996,64.60768264,3266.07472103,50.552420201
"308",47.49999,48.998,46.73735,46.73735,19.55719496,920.360670186,47.0599527217
"309",48.99999,51.9999,46.82163,51.9999,17.73245843,889.128127757,50.1412779997
"310",51.9999,59.99769,51.1842,56.24881,35.06686533,1900.1486823,54.1864425126
"311",59.68335,65.399,59.45,62.41205,17.96414717,1091.15310511,60.7406015319
"312",66.5721,74.99777,60.97997,70,52.53820491,3493.44089183,66.4933432312
"313",69.42742,78.3011,65.3,71,125.40252911,8971.60472203,71.5424544122
"314",71,74,61.1,67.62117,172.2329867,11633.4952384,67.5451053907
"315",67.54062,80,65,74.0031,148.62748294,10852.9097457,73.0208810038
"316",74.2,99.99,74.2,87.4899,89.25385045,7083.22686445,79.3604626438
"317",80,86.998,77.55,82.99,73.83120379,5897.94195361,79.8841363929
"318",81,98.99,77,85,247.49274734,20936.6554111,84.595026061
"319",88,94.97999,0,93,334.50002604,15914.5956852,47.5772629187
"320",88.16517,97.9,85.12,86.70007,125.75876985,11550.5828033,91.8471357276
"321",88.70001,99.99986,88.7,94.96999,35.81324273,3281.98581927,91.6416824919
"322",94.96999,100,90.12023,99.99776,44.89175779,4320.16331423,96.2351114526
"323",95.33722,109.98977,0.14,105,657.56903993,19790.4693716,30.0964129542
"324",105,119.82,103.51,118,88.852126,9720.67736591,109.402867478
"325",121.8,175,114,134,192.55712027,26251.8844357,136.332971738
"326",134,148,130.00001,131.79,145.98416942,20107.7647671,137.739351102
"327",131.77,143.0005,125,137.0005,170.4446449,23003.0615435,134.959133254
"328",137.041,145.49894,137.041,145.385,44.05557289,6227.98620366,141.366592127
"329",144.49999,169.99,143.20001,168.5,125.88520701,19172.2992076,152.299858442
"330",168.49999,239.99997,160,189.00001,158.04805035,28368.5562479,179.493237563
"331",188.9984,242.01999,180.1,240.98,67.11821807,14016.0071284,208.825674034
"332",240.98,284.881,107.3,168,390.3773004,67745.1702445,173.537677972
"333",168,280,33.4,85.1,642.75297158,73767.5120428,114.768060677
"334",86.31,118,57,80,339.74339023,28940.2030087,85.1825343507
"335",73,73,73,73,0.3,21.9,73
